29	52	57	66	24	27	41	99	29	53	
20	40	22	40	60	29	92	44	13	11	
58	40	52	83	28	50	8	25	18	16	
85	12	7	42	26	81	39	43	32	45	
56	18	91	7	25	82	57	51	94	13	
58	81	30	16	19	40	77	86	82	26	
4	67	49	20	44	35	96	37	3	51	
43	14	28	8	80	92	38	77	53	41	
16	14	13	92	85	30	99	84	65	4	
97	0	28	34	13	25	72	57	36	80	
81	51	27	93	25	57	42	62	7	79	
56	97	74	84	99	90	5	3	55	92	
47	96	91	59	35	9	78	1	79	87	
51	44	68	71	22	91	28	56	79	80	
35	38	1	63	60	17	15	23	83	63	
71	54	61	34	52	30	27	15	11	83	
46	18	75	1	17	80	15	86	17	98	
33	88	39	40	62	99	27	24	27	23	
74	44	37	28	32	30	11	86	16	10	
70	96	60	63	52	11	73	94	30	49	
6	36	77	70	29	90	44	94	90	91	
12	21	38	36	81	56	96	1	61	23	
41	9	38	92	0	75	57	2	79	86	
57	61	84	51	82	0	1	34	43	30	
98	38	40	66	6	31	86	10	95	27	
61	51	39	88	61	1	6	19	48	80	
15	32	84	80	72	70	17	44	29	15	
43	58	70	20	83	71	33	26	7	91	
29	52	57	66	24	27	41	99	29	53	
20	40	22	40	60	29	92	44	13	11	
58	40	52	83	28	50	8	25	18	16	
85	12	7	42	26	81	39	43	32	45	
56	18	91	7	25	82	57	51	94	13	
58	81	30	16	19	40	77	86	82	26	
29	52	57	66	24	27	41	99	29	53	
20	40	22	40	60	29	92	44	13	11	
58	40	52	83	28	50	8	25	18	16	
85	12	7	42	26	81	39	43	32	45	
56	18	91	7	25	82	57	51	94	13	
58	81	30	16	19	40	77	86	82	26	
4	67	49	20	44	35	96	37	3	51	
43	14	28	8	80	92	38	77	53	41	
16	14	13	92	85	30	99	84	65	4	
97	0	28	34	13	25	72	57	36	80	
81	51	27	93	25	57	42	62	7	79	
56	97	74	84	99	90	5	3	55	92	
47	96	91	59	35	9	78	1	79	87	
51	44	68	71	22	91	28	56	79	80	
35	38	1	63	60	17	15	23	83	63	
71	54	61	34	52	30	27	15	11	83	
46	18	75	1	17	80	15	86	17	98	
33	88	39	40	62	99	27	24	27	23	
74	44	37	28	32	30	11	86	16	10	
70	96	60	63	52	11	73	94	30	49	
6	36	77	70	29	90	44	94	90	91	
12	21	38	36	81	56	96	1	61	23	
41	9	38	92	0	75	57	2	79	86	
57	61	84	51	82	0	1	34	43	30	
98	38	40	66	6	31	86	10	95	27	
61	51	39	88	61	1	6	19	48	80	
15	32	84	80	72	70	17	44	29	15	
43	58	70	20	83	71	33	26	7	91	
12	26	31	87	77	50	29	61	27	31	
